iter	Passed	Remaining
0	68	68912
1	140	70097
2	207	69005
3	276	68837
4	340	67762
5	405	67206
6	473	67148
7	540	67071
8	610	67216
9	676	66972
10	739	66493
11	806	66411
12	875	66456
13	945	66623
14	1003	65919
15	1075	66161
16	1141	66000
17	1206	65844
18	1269	65570
19	1336	65488
20	1397	65170
21	1464	65122
22	1539	65401
23	1596	64931
24	1659	64703
25	1723	64549
26	1788	64460
27	1851	64287
28	1911	64015
29	1971	63730
30	2037	63682
31	2096	63406
32	2173	63680
33	2245	63787
34	2305	63569
35	2374	63588
36	2449	63758
37	2518	63767
38	2582	63637
39	2642	63411
40	2700	63160
41	2771	63207
42	2837	63154
43	2909	63218
44	2970	63036
45	3030	62845
46	3106	62985
47	3183	63140
48	3248	63053
49	3314	62969
50	3376	62828
51	3444	62799
52	3504	62619
53	3564	62441
54	3622	62237
55	3688	62174
56	3745	61958
57	3815	61963
58	3876	61830
59	3939	61722
60	4005	61666
61	4073	61633
62	4137	61544
63	4196	61379
64	4263	61329
65	4328	61255
66	4402	61309
67	4471	61287
68	4540	61269
69	4605	61183
70	4670	61115
71	4745	61169
72	4807	61046
73	4875	61008
74	4939	60922
75	4999	60784
76	5068	60760
77	5137	60728
78	5221	60869
79	5284	60773
80	5354	60753
81	5420	60684
82	5486	60620
83	5555	60583
84	5618	60478
85	5679	60361
86	5749	60337
87	5837	60499
88	5905	60443
89	5968	60345
90	6038	60316
91	6102	60226
92	6164	60122
93	6235	60104
94	6300	60016
95	6363	59924
96	6430	59863
97	6505	59878
98	6570	59794
99	6629	59667
100	6698	59622
101	6765	59562
102	6827	59456
103	6894	59397
104	6970	59417
105	7037	59357
106	7102	59278
107	7172	59239
108	7237	59159
109	7301	59072
110	7360	58953
111	7426	58882
112	7490	58796
113	7565	58795
114	7637	58777
115	7696	58650
116	7761	58572
117	7837	58580
118	7907	58540
119	7974	58481
120	8047	58463
121	8108	58353
122	8171	58264
123	8239	58211
124	8301	58110
125	8368	58045
126	8422	57895
127	8493	57858
128	8554	57760
129	8620	57691
130	8690	57646
131	8752	57552
132	8815	57466
133	8886	57431
134	8950	57349
135	9006	57214
136	9076	57173
137	9140	57097
138	9203	57008
139	9264	56911
140	9334	56864
141	9397	56782
142	9459	56687
143	9516	56567
144	9574	56455
145	9637	56372
146	9708	56334
147	9769	56243
148	9831	56154
149	9894	56067
150	9956	55981
151	10017	55887
152	10078	55793
153	10142	55718
154	10206	55642
155	10271	55569
156	10332	55478
157	10392	55383
158	10458	55318
159	10522	55241
160	10586	55166
161	10649	55090
162	10713	55013
163	10782	54964
164	10847	54896
165	10910	54813
166	10971	54726
167	11035	54650
168	11099	54576
169	11169	54535
170	11231	54450
171	11304	54418
172	11371	54360
173	11432	54272
174	11495	54194
175	11557	54112
176	11616	54013
177	11677	53925
178	11737	53836
179	11797	53744
180	11863	53680
181	11925	53600
182	11987	53518
183	12049	53435
184	12117	53382
185	12190	53350
186	12265	53324
187	12330	53257
188	12392	53175
189	12458	53110
190	12520	53033
191	12588	52976
192	12649	52890
193	12707	52796
194	12768	52708
195	12827	52617
196	12893	52557
197	12961	52498
198	13021	52411
199	13080	52321
200	13150	52273
201	13213	52200
202	13284	52157
203	13354	52108
204	13420	52046
205	13477	51948
206	13536	51858
207	13596	51771
208	13663	51711
209	13723	51627
210	13784	51544
211	13850	51483
212	13912	51405
213	13978	51341
214	14042	51272
215	14113	51225
216	14170	51132
217	14231	51051
218	14305	51015
219	14365	50932
220	14427	50855
221	14499	50813
222	14562	50739
223	14626	50670
224	14691	50602
225	14754	50530
226	14817	50456
227	14879	50382
228	14938	50294
229	15001	50223
230	15066	50156
231	15127	50076
232	15193	50013
233	15255	49937
234	15323	49881
235	15389	49820
236	15452	49748
237	15515	49674
238	15576	49596
239	15641	49531
240	15704	49460
241	15770	49395
242	15833	49324
243	15899	49261
244	15965	49199
245	16032	49139
246	16106	49102
247	16189	49089
248	16250	49012
249	16317	48953
250	16384	48893
251	16455	48843
252	16519	48776
253	16581	48699
254	16645	48631
255	16707	48557
256	16770	48485
257	16833	48412
258	16898	48347
259	16960	48270
260	17023	48200
261	17087	48130
262	17154	48072
263	17216	47998
264	17281	47932
265	17344	47859
266	17405	47783
267	17465	47705
268	17533	47646
269	17596	47575
270	17659	47503
